"id";"page";"french";"german";"english";"description";"category";"difficulty";"learned"
"112";"29";"Utiliser une protection respiratoire";"Atemschutz benutzen";"Use respiratory protection";;"Sicherheit";;
"120";"29";"Utiliser un harnais de sécurité";"Auffanggurt benutzen";"Use a safety harness";;"Sicherheit";;
"1314";"29";"Ceinture de sécurité obligatoire";"Rückhaltesystem benutzen";"Use a fall arrest system";;"Sicherheit";;
"495";"29";"Déconnexion du courant, avant maintenance ou réparation";"freischalten, vor Wartung oder Reparatur";"Disconnect power before maintenance or repair";;"Sicherheit";;
"572";"29";"Utiliser une protection du visage";"Gesichtsschutz benutzen";"Use face protection";;"Sicherheit";;
"633";"29";"Se laver les mains";"Hände waschen";"Wash hands";;"Sicherheit";;
"832";"29";"Utiliser un casque de protection";"Kopfschutz benutzen";"Use head protection";;"Sicherheit";;
"994";"29";"Utiliser un masque";"Maske benutzen";"Use a mask";;"Sicherheit";;
"1454";"29";"Utiliser un masque de soudage";"Schweißmaske benutzen";"Use a welding mask";;"Sicherheit";;
"1847";"29";"Utiliser un gilet de sécurité";"Warnweste benutzen";"Wear a high-visibility vest";;"Sicherheit";;
"515";"30";"Utiliser le passage piétons";"Fußgängerweg benutzen";"Use the sidewalk";;"Sicherheit";;
"632";"30";"Utiliser de la crème pour les mains";"Handcreme benutzen";"Use hand cream";;"Sicherheit";;
"664";"30";"Utiliser de la crème pour les mains";"Hautschutzmittel benutzen";"Use skin protection";;"Sicherheit";;
"1622";"30";"Substances explosives";"Stoffe, explosionsgefährlich";"Substances, explosive";;"Sicherheit";;
"1709";"30";"Passerelle obligatoire";"Übergang benutzen";"Use the crosswalk";;"Sicherheit";;
"1848";"30";"Panneau d'avertissement général";"Warnzeichen, allgemein";"Warning sign, general";;"Sicherheit";;
"514";"30";"Utiliser le passage piétons";"Fußgängerüberweg benutzen";"Use crosswalk";;"Sicherheit";;
"910";"30";"Faisceaux laser";"Laserstrahlen";"Laser beams";;"Sicherheit";;
"1444";"30";"Utiliser un tablier de protection";"Schutzschürze benutzen";"Use protective apron";;"Sicherheit";;
"1535";"30";"Fermer";"Sperren";"Barriers";;"Sicherheit";;
"1621";"30";"Substance radioactive";"Stoff, radioaktiv";"Radioactive material";;"Sicherheit";;
"1625";"30";"Rayonnement ionisant";"Strahlung, ionisierend";"Ionizing radiation";;"Sicherheit";;
"1626";"30";"Rayonnement non ionisant";"Strahlung, nicht ionisierend";"Non-ionizing radiation";;"Sicherheit";;
"38";"31";"Risque de chute";"Absturzgefahr";"Risk of falling";;"Sicherheit";;
"197";"31";"Risque biologique";"Biogefährdung";"Biological hazard";;"Sicherheit";;
"481";"31";"Chariot élévateur";"Flurförderfahrzeug";"Industrial truck";;"Sicherheit";;
"694";"31";"Obstacle sur le sol";"Hindernis am Boden";"Obstacle on the ground";;"Sicherheit";;
"911";"31";"Charge suspendue";"Last, schwebend";"Suspended load";;"Sicherheit";;
"1655";"31";"Gel, température basse";"Frost, niedrige Temperatur";"Frost, low temperature";;"Sicherheit";;
"434";"31";"Champ magnétique";"Feld, magnetisch";"Magnetic field";;"Sicherheit";;
"498";"31";"Gel";"Frost";"Frost";;"Sicherheit";;
"987";"31";"Champ magnétique";"Magnetfeld";"Magnetic field";;"Sicherheit";;
"1334";"31";"Risque de glissade";"Rutschgefahr";"Slip hazard";;"Sicherheit";;
"1620";"31";"Substance toxique";"Stoff, giftig";"Toxic substance";;"Sicherheit";;
"1519";"31";"Tension électrique";"Spannung,elektrisch";"Electrical voltage";;"Sicherheit";;
"87";"32";"Démarrage automatique";"Anlauf, automatisch";"Automatic start";;"Sicherheit";;
"418";"32";"Atmosphère explosive";"explosionsfähige Atmosphäre";"Explosive atmosphere";;"Sicherheit";;
"527";"32";"Bouteille de gaz";"Gasflasche";"Gas cylinder";;"Sicherheit";;
"644";"32";"Blessure à la main";"Handverletzung";"Hand injury";;"Sicherheit";;
"695";"32";"Obstacle au niveau de la tête";"Hindernis im Kopfbereich";"Obstacle in the head area";;"Sicherheit";;
"1224";"32";"Risque d'écrasement";"Quetschgefahr";"Risk of crushing";;"Sicherheit";;
"1617";"32";"Substance corrosive";"Stoff, ätzend";"Corrosive substance";;"Sicherheit";;
"1618";"32";"Substance comburante";"Stoff, brandfördernd";"Substance, oxidizing";;"Sicherheit";;
"1619";"32";"Substance inflammable";"Stoff, feuergefährlich";"Substance, flammable";;"Sicherheit";;
"1627";"32";"Rayonnement optique";"Strahlung, optisch";"Optical radiation";;"Sicherheit";;
"56";"33";"DEA (défribrillateur externe automatisé)";"AED (Automatisierter Externer Defibrillator)";"AED (Automated External Defibrillator)";;"Sicherheit";;
"109";"33";"Médecin";"Arzt";"Doctor";;"Sicherheit";;
"133";"33";"Douche oculaire";"Augendusche";"Eye wash";;"Sicherheit";;
"135";"33";"Dispositif de rinçage des yeux";"Augenspüleinrichtung";"Eye wash station";;"Sicherheit";;
"280";"33";"Docteur";"Doktor";"Doctor";;"Sicherheit";;
"412";"33";"Premiers secours";"Erste Hilfe";"First aid";;"Sicherheit";;
"1088";"33";"Dispositif d'issue de secours";"Notausgangsvorrichtung";"Emergency exit device";;"Sicherheit";;
"1092";"33";"Douche d'urgence";"Notdusche";"Emergency shower";;"Sicherheit";;
"1093";"33";"Téléphone d'urgence";"Notruftelefon";"Emergency telephone";;"Sicherheit";;
"1341";"33";"Point de collecte";"Sammelstelle";"Assembly point";;"Sicherheit";;
"1091";"34";"Sortie de secours avec échelle de secours";"Notausstieg mit Fluchtleiter";"Emergency exit with escape ladder";;"Sicherheit";;
"1104";"34";"Ouverture en tournant vers la droite";"Öffnen durch Rechtsdrehung";"Open by turning clockwise";;"Sicherheit";;
"1251";"34";"le matériel de secours public";"Rettungsausrüstung, öffentlich";"Rescue equipment, public";;"Sicherheit";;
"847";"34";"Brancard";"Krankentrage";"Stretcher";;"Sicherheit";;
"1087";"34";"Sortie de secours à droite";"Notausgang rechts";"Emergency exit on the right";;"Sicherheit";;
"1090";"34";"Sortie de secours";"Notausstieg";"Emergency exit";;"Sicherheit";;
"1252";"34";"Sortie de secours";"Rettungsausstieg";"Emergency exit";;"Sicherheit";;
"235";"35";"Lutte contre l'incendie, moyens et équipements";"Brandbekämpfung, Mittel und Gerät";"Firefighting, equipment and tools";;"Sicherheit";;
"237";"35";"Téléphone d'alerte incendie";"Brandmeldetelefon";"Fire alarm telephone";;"Sicherheit";;
"443";"35";"Échelle de secours";"Feuerleiter";"Fire escape";;"Sicherheit";;
"236";"35";"Détecteur d'incendie";"Brandmelder";"Fire alarm";;"Sicherheit";;
"817";"35";"le caractère combinatoire";"Kombinationszeichen";"Combination symbol";;"Sicherheit";;
"444";"35";"Extincteur";"Feuerlöscher";"Fire extinguisher";;"Sicherheit";;
"445";"35";"Détecteur d'incendie";"Feuermelder";"Fire alarm";;"Sicherheit";;
"949";"35";"Tuyau d'incendie";"Löschschlauch";"Fire hose";;"Sicherheit";;
"118";"36";"Corrosif";"ätzend";"Corrosive";;"Sicherheit";;
"577";"36";"nocif pour la santé";"gesundheitsschädigend";"harmful to health";;"Sicherheit";;
"576";"36";"Dangereux pour la santé";"gesundheitsgefährdend";"harmful to health";;"Sicherheit";;
"594";"36";"Toxique";"giftig";"toxic";;"Sicherheit";;
"702";"36";"Hautement inflammable";"hochentzündlich";"highly flammable";;"Sicherheit";;
"477";"37";"Plan de fuite et de sauvetage";"Flucht- und Rettungsplan";"Evacuation and Rescue Plan";;"Sicherheit";;
"413";"38";"Premiers secours, instructions";"Erste Hilfe, Anleitung";"First aid, instructions";;"Sicherheit";;
"182";"39";"Mode d'emploi (échelle)";"Betriebsanleitung (Leiter)";"Operating instructions (ladder)";;"Sicherheit";;
"183";"39";"Consignes d'exploitation (substances dangereuses)";"Betriebsanweisung (Gefahrstoffe)";"Operating instructions (hazardous substances)";;"Sicherheit";;
"68";"40";"Échelle en aluminium";"Aluleiter";"Aluminum ladder";;"Sicherheit";;
"74";"40";"Échelle en aluminium";"Aluminiumleiter";"Aluminum ladder";;"Sicherheit";;
"88";"40";"Échelle simple";"Anlegeleiter";"Single ladder";;"Sicherheit";;
"161";"40";"Échelle coulissante";"Ausziehleiter";"Extendable ladder";;"Sicherheit";;
"920";"40";"Mettre en place une échelle";"Leiter anlegen";"Setting up a ladder";;"Sicherheit";;
"1333";"40";"Antidérapant";"rutschfest";"non-slip";;"Sicherheit";;
"1552";"40";"Protection contre l´écartement";"Spreizsicherung";"Anti-spread device";;"Sicherheit";;
"1600";"40";"Sonde de température";"Stehleiter";"Step ladder";;"Sicherheit";;
"233";"41";"Plinthe";"Bordbrett";"Step board";;"Sicherheit";;
"555";"41";"le garde-corps";"Geländerholm";"Handrail";;"Sicherheit";;
"566";"41";"Échafaudage sur roues";"Gerüst auf Rollen";"Scaffold on casters";;"Sicherheit";;
"1957";"41";"la filière intermédiaire";"Zwischenholm";"Crossbar";;"Sicherheit";;
"565";"41";"Echafaudage";"Gerüst";"Scaffold";;"Sicherheit";;
"800";"41";"Petit échafaudage";"Kleingerüst";"Small scaffold";;"Sicherheit";;
"1515";"46";"l'écrou de serrage";"Spannmutter";"Tension nut";;"Fertigungstechnik";;
"1916";"46";"le pas de dents";"Zahnteilung";"Tooth pitch";;"Fertigungstechnik";;
"631";"46";"la scie à métaux à main";"Handbügelsäge";"Hand-held hacksaw";;"Fertigungstechnik";;
"1335";"46";"Lame de scie";"Sägeblatt";"Saw blade";;"Fertigungstechnik";;
"1336";"46";"Sciage";"sägen";"Sawing";;"Fertigungstechnik";;
"1425";"46";"Étau";"Schraubstock";"Vise";;"Fertigungstechnik";;
"1611";"46";"Scie sauteuse";"Stichsäge";"Jigsaw";;"Fertigungstechnik";;
"1911";"46";"Dent";"Zahn";"Tooth";;"Fertigungstechnik";;
"722";"47";"Machine à scier à mouvement alternatif";"Hubsägemaschine";"Jig saw";;"Fertigungstechnik";;
"766";"47";"Scia à onglet radiale";"Kapp- und Gehrungssäge";"Mitre saw";;"Fertigungstechnik";;
"848";"47";"Scie circulaire";"Kreissäge";"Circular saw";;"Fertigungstechnik";;
"849";"47";"Scie circulaire";"Kreissägemaschine";"Circular saw";;"Fertigungstechnik";;
"1288";"47";"Scie à tubes";"Rohrsäge";"Pipe saw";;"Fertigungstechnik";;
"219";"48";"Perçage";"bohren";"Drilling";;"Fertigungstechnik";;
"119";"48";"Alésage";"aufbohren";"Reaming";;"Fertigungstechnik";;
"1802";"48";"Forage préalable";"vorbohren";"pre-drilling";;"Fertigungstechnik";;
"778";"48";"Carottage";"kernbohren";"core drilling";;"Fertigungstechnik";;
"220";"49";"Forêt hélicoïdal";"Bohrer";"Drill";;"Fertigungstechnik";;
"221";"49";"Type de foret";"Bohrertyp";"Drill type";;"Fertigungstechnik";;
"619";"49";"D - matériaux durs, comme la fonte";"H - harte Werkstoffe";"H - hard materials";;"Fertigungstechnik";;
"1058";"49";"N - matériaux normaux, comme l´acier";"N - normale Werkstoffe";"N - normal materials";;"Fertigungstechnik";;
"1402";"49";"La partie coupante";"Schneidteil";"Cutting edge";;"Fertigungstechnik";;
"1959";"49";"La queue cylindrique";"Zylinderschaft";"Cylindrical shank";;"Fertigungstechnik";;
"1530";"49";"Angle de coupe";"Spanwinkel";"Cutting angle";;"Fertigungstechnik";;
"1544";"49";"Forêt hélicoïdal";"Spiralbohrer";"Twist drill";;"Fertigungstechnik";;
"1545";"49";"Longueur de pointe";"Spitzenlänge";"Tip length";;"Fertigungstechnik";;
"1546";"49";"Angle de pointe";"Spitzenwinkel";"Point angle";;"Fertigungstechnik";;
"1813";"49";"T - matériaux tendres, comme l´aluminium";"W - weiche Werkstoffe";"W - soft materials";;"Fertigungstechnik";;
"179";"50";"Forêt à béton";"Betonbohrer";"Concrete drill bit";;"Fertigungstechnik";;
"204";"50";"Forêt à tôle";"Blechbohrer";"Sheet metal drill";;"Fertigungstechnik";;
"713";"50";"Forêt à bois et à plastique";"Holz- und Kunststoffbohrer";"Wood and plastic drill bits";;"Fertigungstechnik";;
"720";"50";"Forêt HSS";"HSS-Bohrer";"HSS drill bits";;"Fertigungstechnik";;
"1359";"50";"Le foret à pointe de centrage";"Schälbohrer";"Fluted drill bits";;"Fertigungstechnik";;
"1605";"50";"Forêt à pierre";"Steinbohrer";"Stone drill bits";;"Fertigungstechnik";;
"1015";"50";"Forêt HSS";"Metallbohrer";"Metal drill bits";;"Fertigungstechnik";;
"59";"51";"Marteau perforateur sans fil";"Akkubohrhammer";"Cordless hammer drill";;"Fertigungstechnik";;
"224";"51";"Marteau perfortateur";"Bohrhammer";"Hammer drill";;"Fertigungstechnik";;
"226";"51";"Trépan";"Bohrkrone";"Core drill";;"Fertigungstechnik";;
"779";"51";"Carotteuse";"Kernbohrmaschine";"Core drill";;"Fertigungstechnik";;
"1377";"51";"Perceuse à percution";"Schlagbohrmaschine";"Impact drill";;"Fertigungstechnik";;
"1357";"52";"Perceuse à colonne";"Säulenbohrmaschine";"Column drill";;"Fertigungstechnik";;
"228";"53";"Broche de perçage";"Bohrspindel";"Drill spindle";;"Fertigungstechnik";;
"230";"53";"Table de forage";"Bohrtisch";"Drilling table";;"Fertigungstechnik";;
"294";"53";"Compte-tours";"Drehzahlmesser";"RPM meter";;"Fertigungstechnik";;
"295";"53";;"Drehzahlverstellung";"Speed adjustment";;"Fertigungstechnik";;
"517";"53";"le réglage de vitesse";"Fußplatte";"Base plate";;"Fertigungstechnik";;
"863";"53";"le flexible pour réfrigérant";"Kühlmittelschlauch";"Coolant hose";;"Fertigungstechnik";;
"441";"53";"Levier de blocage";"Feststellhebel";"Lock lever";;"Fertigungstechnik";;
"862";"53";"Pompe de refroidissement";"Kühlmittelpumpe";"Coolant pump";;"Fertigungstechnik";;
"899";"53";"Manivelle";"Kurbel";"Crank";;"Fertigungstechnik";;
"1086";"53";"Arrêt d'urgence";"Not-Aus";"Emergency stop";;"Fertigungstechnik";;
"1255";"53";"l'entraînement par courroie";"Riemengetriebe";"Belt drive";;"Fertigungstechnik";;
"1356";"53";"Colonne";"Säule";"Column";;"Fertigungstechnik";;
"1670";"53";"Butée de profondeur";"Tiefenanschlag";"Depth stop";;"Fertigungstechnik";;
"1809";"53";"Avance";"Vorschub";"Feed";;"Fertigungstechnik";;
"1878";"53";"Logement de pièce à usiner";"Werkstückaufnahme";"Workpiece holder";;"Fertigungstechnik";;
"379";"53";"Moteur électrique";"Elektromotor";"Electric motor";;"Fertigungstechnik";;
"222";"54";"Mandrin pour forêt avec rainure longitudinale";"Bohrfutter für Bohrer mit Längsnut";"Drill chuck for drills with longitudinal slot";;"Fertigungstechnik";;
"223";"54";"la clé à mandrin";"Bohrfutterschlüssel";"Drill chuck key";;"Fertigungstechnik";;
"770";"54";"la fraise à chanfreiner";"Kegelsenker";"Tapered countersink";;"Fertigungstechnik";;
"1223";"54";"la fraise à ébavurer à trou transversal";"Querlochsenker";"Cross-slot countersink";;"Fertigungstechnik";;
"1912";"54";"le mandrin de perçage à couronne dentée";"Zahnkranzbohrfutter";"Serrated collet chuck";;"Fertigungstechnik";;
"461";"54";"la fraise plate";"Flachsenker";"Flat countersink";;"Fertigungstechnik";;
"908";"54";"Rainure longitudinale";"Längsnut";"Longitudinal groove";;"Fertigungstechnik";;
"1407";"54";"Mandrin auto-serrant";"Schnellspannbohrfutter";"Quick-release drill chuck";;"Fertigungstechnik";;
"437";"55";"taraud finisseur";"Fertigschneider";"Finishing cutter";;"Fertigungstechnik";;
"1808";"55";"taraud ébaucheur";"Vorschneider";"Pre-cutter";;"Fertigungstechnik";;
"735";"55";"Filetage intérieur";"Innengewinde";"Internal thread";;"Fertigungstechnik";;
"1033";"55";"Coupe-câbles";"Mittelschneider";"Center cutter";;"Fertigungstechnik";;
"1257";"55";"Anneau";"Ring";"Ring";;"Fertigungstechnik";;
"580";"55";"Taraud";"Gewindebohrer";"Tap";;"Fertigungstechnik";;
"157";"55";"Filetage extérieur";"Außengewinde";"External thread";;"Fertigungstechnik";;
"578";"55";"Filetage";"Gewinde";"Thread";;"Fertigungstechnik";;
"587";"56";"Tête de taraudage";"Gewindeschneidkopf";"Thread cutting head";;"Fertigungstechnik";;
"588";"56";"Outil de taraudage";"Gewindeschneidzeug";"Thread cutting tool";;"Fertigungstechnik";;
"638";"56";"Pince à fileter à main";"Handkluppe";"Hand tap";;"Fertigungstechnik";;
"805";"56";"Pince à fileter à main";"Kluppe";"Tong";;"Fertigungstechnik";;
"1230";"56";"Levier à cliquet";"Ratschenhebel";"Ratchet lever";;"Fertigungstechnik";;
"1393";"56";"Filière de coupe";"Schneideisen";"Tapping die";;"Fertigungstechnik";;
"586";"56";"Outil de taraudage";"Gewindeschneider";"Thread cutter";;"Fertigungstechnik";;
"1396";"56";"Tête de taraudage";"Schneidkopf";"Cutting head";;"Fertigungstechnik";;
"1228";"56";"Clé à cliquet";"Ratsche";"Ratchet";;"Fertigungstechnik";;
"584";"57";"Machine à fileter";"Gewindeschneidemaschine";"Thread cutting machine";;"Fertigungstechnik";;
"585";"57";"Machine à fileter, à guidage manuel";"Gewindeschneidemaschine, handgeführt";"Hand-held threading machine";;"Fertigungstechnik";;
"1409";"57";"la tête de filetage automatisée";"Schnellwechsel-Schneidkopf";"Quick-change cutting head";;"Fertigungstechnik";;
"476";"58";"Meuleuse d'angle";"Flex";"Flex";;"Fertigungstechnik";;
"1694";"58";"Disque à tronçonner";"Trennschleifscheibe";"Cutting disc";;"Fertigungstechnik";;
"424";"58";"Code couleur de la meule";"Farbcodierung der Schleifscheibe";"Color coding of the grinding wheel";;"Fertigungstechnik";;
"1693";"58";"Tronçonnage";"trennschleifen";"Cutting";;"Fertigungstechnik";;
"1723";"58";"Vitesse périphérique";"Umfangsgeschwindigkeit";"Peripheral speed";;"Fertigungstechnik";;
"1899";"58";"Meuleuse d'angle";"Winkelschleifer";"Angle grinder";;"Fertigungstechnik";;
"26";"59";"Écrouter";"abschälen";"chipping";;"Fertigungstechnik";;
"85";"59";"Chanfreiner";"anfasen";"Chamfering";;"Fertigungstechnik";;
"391";"59";"Ébavureur à entraînement électrique";"Entgrater mit elektrischem Antrieb";"Electric deburring tool";;"Fertigungstechnik";;
"634";"59";"Ébavureur manuel";"Handentgrater";"Hand deburrer";;"Fertigungstechnik";;
"1366";"59";"outil d'ecroutage";"Schälwerkzeug";"Peeling tool";;"Fertigungstechnik";;
"738";"59";"Ebavureur de tube intérieur";"Innenrohrentgrater";"Inner tube deburrer";;"Fertigungstechnik";;
"1691";"59";"Appareil à tronçonner et à chanfreiner";"Trenn- und Anfasgerät";"Cutting and chamfering tool";;"Fertigungstechnik";;
"1737";"59";"Ébavureur universel";"Universalentgrater";"Universal deburrer";;"Fertigungstechnik";;
"390";"59";"Ébavurer";"entgraten";"Deburring";;"Fertigungstechnik";;
"200";"60";"Tôle";"Blech";"Sheet metal";;"Fertigungstechnik";;
"147";"60";"Encocher";"ausklinken";"Notching";;"Fertigungstechnik";;
"726";"60";"Cisaille idéale";"Ideale Schere";"Ideal shears";;"Fertigungstechnik";;
"1370";"60";"Cisaille";"Schere";"Shears";;"Fertigungstechnik";;
"177";"61";"Détourer";"beschneiden";"Trimming";;"Fertigungstechnik";;
"354";"61";"Inciser";"einschneiden";"Cut";;"Fertigungstechnik";;
"850";"61";"découpe circulaire";"kreisschneiden";"Circular cutting";;"Fertigungstechnik";;
"944";"61";"Découpe de trous";"lochschneiden";"Punch";;"Fertigungstechnik";;
"561";"61";"Cisaille droite";"Gerade Schere";"Straight shears";;"Fertigungstechnik";;
"629";"61";"Taraud";"Handblechschere, elektrisch";"Electric hand-held sheet metal shears";;"Fertigungstechnik";;
"943";"61";"Cisaille à perforer";"Lochschere";"Hole shears";;"Fertigungstechnik";;
"637";"62";"la cisaille à levier manuelle";"Handhebelschere";"Hand-operated shears";;"Fertigungstechnik";;
"1078";"62";"le presseur";"Niederhalter";"Hold-down device";;"Fertigungstechnik";;
"666";"62";"Cisaille à levier";"Hebeltafelschere";"Lever-type panel shears";;"Fertigungstechnik";;
"1302";"62";"Cisaille à tôle à rouleaux";"Rollenblechschere";"Roll-type sheet metal shears";;"Fertigungstechnik";;
"29";"63";"La coupe";"Abschneiden";"Cutting";;"Fertigungstechnik";;
"710";"63";"Taille creuse";"Hohlschliff";"Hollow grinding";;"Fertigungstechnik";;
"1587";"63";"Refoulement";"Stauchen";"Upsetting";;"Fertigungstechnik";;
"1394";"63";"Découper";"Schneiden";"Cutting";;"Fertigungstechnik";;
"1403";"63";"Processus de coupe";"Schneidvorgang";"Cutting process";;"Fertigungstechnik";;
"1692";"63";"Séparation";"Trennen";"Cutting";;"Fertigungstechnik";;
"64";"64";"Coupe-tubes sans fil";"Akku-Rohrschneider";"Cordless pipe cutter";;"Fertigungstechnik";;
"1266";"64";"Couper un tuyau";"Rohr abschneiden";"Cutting pipe";;"Fertigungstechnik";;
"1268";"64";"Coupe-tube";"Rohrabschneider";"Pipe cutter";;"Fertigungstechnik";;
"1327";"64";"Couteau circulaire";"Rundmesser";"Circular blade";;"Fertigungstechnik";;
"1397";"64";"Couteau circulaire";"Schneidrad";"Cutting wheel";;"Fertigungstechnik";;
"1295";"64";"Cisaille à tubes";"Rohrschere";"Pipe shears";;"Fertigungstechnik";;
"1395";"64";"Chaîne de coupe";"Schneidkette";"Cutting chain";;"Fertigungstechnik";;
"1399";"64";"Bague coupante pour tubes en grès";"Schneidring für Steinzeugrohre";"Cutting ring for vitrified clay pipes";;"Fertigungstechnik";;
"188";"65";"Ressort de flexion";"Biegefeder";"Bending spring";;"Fertigungstechnik";;
"639";"65";"Cintreuse manuelle pour tubes";"Handrohrbiegegerät";"Hand-held pipe bender";;"Fertigungstechnik";;
"1951";"65";"Pince à cintrer à deux mains";"Zweihandbiegezange";"Two-hand bending pliers";;"Fertigungstechnik";;
"493";"65";"Ceintrage à main levée";"Freihandbiegen";"Freehand bending";;"Fertigungstechnik";;
